GENESIS-Tabelle: 12411-0001;
Bevölkerung: Deutschland, Stichtag;
Fortschreibung des Bevölkerungsstandes;
Deutschland;
;Bevölkerungsstand
;Anzahl
1;50958125
2;51434777
3;NaN
4;52453806
5;
6;53517683
7;53339626
8;54064365
9;Hans
10;55257088
11;55958321
12;56589148
13;57247246
14;57864509
15;58587451
16;59296591
17;59792934
18;59948474
19;60463033
20;61194591
21;61001164
22;61502503
23;61809378
24;
25;61991475
26;61644624
27;61441996
28;61352745
29;61321663
30;61439342
31;61657945
32;61712689
33;61546101
34;61306669
35;61049256
36;61020474
37;61140461
38;61238079
39;61715103
40;62679035
41;79753227
42;Peter
43;80974632
44;81338093
45;
46;81817499
47;82012162
48;82057379
49;82037011
50;NaN
51;82259540
52;82440309
53;82536680
54;82531671
55;82500849
56;82437995
57;82314906
58;82217837
59;82002356
60;81802257
61;81751602
62;80327900
63;80523746
64;80767463
65;81197537
66;82175684
67;82521653
68;82792351
69;83019213
70;
71;83155031
72;83237124
__________;
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.";
© Statistisches Bundesamt (Destatis), 2022;
Stand: 10.10.2022 / 11:01:39;
