Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1950;DINSG;Deutschland insgesamt;DG;Deutschland;50958125
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1951;DINSG;Deutschland insgesamt;DG;Deutschland;51434777
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1952;DINSG;Deutschland insgesamt;DG;Deutschland;51863761
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1953;DINSG;Deutschland insgesamt;DG;Deutschland;52453806
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1954;DINSG;Deutschland insgesamt;DG;Deutschland;52943295
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1955;DINSG;Deutschland insgesamt;DG;Deutschland;53517683
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1956;DINSG;Deutschland insgesamt;DG;Deutschland;53339626
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1957;DINSG;Deutschland insgesamt;DG;Deutschland;54064365
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1958;DINSG;Deutschland insgesamt;DG;Deutschland;54719159
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1959;DINSG;Deutschland insgesamt;DG;Deutschland;55257088
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1960;DINSG;Deutschland insgesamt;DG;Deutschland;55958321
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1961;DINSG;Deutschland insgesamt;DG;Deutschland;56589148
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1962;DINSG;Deutschland insgesamt;DG;Deutschland;57247246
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1963;DINSG;Deutschland insgesamt;DG;Deutschland;57864509
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1964;DINSG;Deutschland insgesamt;DG;Deutschland;58587451
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1965;DINSG;Deutschland insgesamt;DG;Deutschland;59296591
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1966;DINSG;Deutschland insgesamt;DG;Deutschland;59792934
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1967;DINSG;Deutschland insgesamt;DG;Deutschland;59948474
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1968;DINSG;Deutschland insgesamt;DG;Deutschland;60463033
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1969;DINSG;Deutschland insgesamt;DG;Deutschland;61194591
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1970;DINSG;Deutschland insgesamt;DG;Deutschland;61001164
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1971;DINSG;Deutschland insgesamt;DG;Deutschland;61502503
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1972;DINSG;Deutschland insgesamt;DG;Deutschland;61809378
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.1973;DINSG;Deutschland insgesamt;DG;Deutschland;62101369
